title,summary,url,score,prob,keep,decision,decision_reason,relevance_score,relevance_prob,matched_hard,matched_soft,matched_negative
"[단독] ""현직 회계사, 아파트 조합 사무실 들어가 수백 명 계약서 원본...",김씨는 그동안 각종 대부업 논란의 중심에 서 있던 인물이다. 시사저널은 2024년 6월과 7월 보도를 통해 김씨가... 현행 이자제한법상 법정 최고금리는 연 20%다. 취재 중 김씨가 대형 회계법인 출신 회계사라는 사실도 새롭게...,https://www.sisajournal.com/news/articleView.html?idxno=372401,6,,1,keep,rule_keep_score_ge_threshold,6,,대부업,금리,
"나랏돈으로 이자 장사한 명륜진사갈비...금융당국, '뒤늦은' 정책금융 ...","특수관계인이 가맹점주에게 금융을 제공할 경우 금융위 사전 신고 또는 허가 의무를 부과하고, 가맹 연계 대출에는 현행 대부업법 최고금리(연 20%)보다 낮은 별도 상한을 적용하는 방안도 검토할 만하다""고 제안했다.",http://www.the-biz.co.kr/news/articleView.html?idxno=720329,21,,1,keep,rule_keep_score_ge_threshold,21,,금융위;대부업;대부업법,금리;대출;가맹점;금융,
"""정책자금으로 고금리 장사 못 한다""…정부 '명륜당 사태' 재발 차단 나...",이후 대주주가 설립한 특수관계 대부업체 14곳에 약 899억원을 빌려줬고 이들 업체는 다시 가맹점주들에게 연... 가맹점주 대상 대출금리 역시 최고 연 18%에서 연 4.6% 수준으로 일괄 인하됐다. ◆정보공개 강화…'깜깜이 대출...,http://www.ftoday.co.kr/news/articleView.html?idxno=358677,9,,1,keep,rule_keep_score_ge_threshold,9,,대부업,금리;대출;가맹점;주가,
지자체 2주면 되는데...금융위 대부업 등록에 6개월,업계에서는 불법 사금융은 단속과 처벌만으로는 근절이 어려운 데다 대부업이 활성화해야 줄어들 수 있는 만큼 등록 절차를 간소화해야 한다는 조언이 나온다. 국무조정실이 불법사금융 근절 태스크포스(TF)를 출범해...,https://www.sedaily.com/article/20042764?ref=naver,18,,1,keep,rule_keep_score_ge_threshold,18,,금융위;대부업;불법사금융,금융,
[단독]불법사금융 판치는데…대부업 등록에 반년이나 걸려,업계에서는 불법 사금융은 단속과 처벌만으로 뿌리 뽑기 어려운 데다 대부업이 활성화해야 줄어들 수 있는 만큼 등록 절차를 간소화해야 한다는 조언이 나온다. 실제로 대부업 대출 잔액과 이용자가 줄어들수록 불법...,https://www.sedaily.com/article/20042706?ref=naver,13,,1,keep,rule_keep_score_ge_threshold,13,,대부업;불법사금융,대출;금융,
[대부업 다시보기] ③'생활금융' 명칭 변경 요구…이미지 개선 '선결 조...,"정부가 작년에 수행한 불법사금융 범죄 특별단속 결과에 따르면 검거 건수와 금액은 3365건, 309억원으로 전년 대비 각각 65%, 70.2% 증가했다. 대부업계 한 대표는 ""금융취약계층이 대부업을 이용하는 과정에서 이름만 보고...",https://www.fetv.co.kr/news/articleView.html?idxno=302101,12,,1,keep,rule_keep_score_ge_threshold,12,,대부업;불법사금융,금융,
'이자 장사' 논란에 침묵하는 명륜당… 가맹점주들은 '이미지 추락' 한...,"공정위의 제재 착수와 관련해 명륜당 측은 현재까지 별다른 입장을 밝히지 않고 있다. 본사의 이 같은 침묵은... 본사의 채권 추심 수단으로 악용한 것으로 현대판 노예 계약과 다를 바 없다""고 비판했다. 앞서 서울시...",https://news.tf.co.kr/read/economy/2321430.htm,2,,0,drop,rule_drop_no_financial_anchor,2,,,가맹점;채권,
"""저는 아무리 친해도…"" 박명수가 살면서 반드시 멀리한다는 친구 유형...","실제로 사기 피해 사례를 분석한 경찰청 통계에 따르면, 대다수의 투자 사기나 보이스피싱 초기 단계에는 '과도한 친절과 호의'가 선행된다. 공짜 밥, 선물, 유망한 정보 제공 등이 신뢰를 쌓는 수단으로 활용된다. 대가 없는...",https://www.wikitree.co.kr/articles/1135919,0,,0,drop,rule_drop_no_financial_anchor,0,,,,
"영광경찰 ""외국인·반려견도 함께 지킨다""…영광 찰보리축제, 이색 순찰...",현장에서는 최근 피해가 잇따르는 전화금융사기 예방 캠페인도 함께 실시됐다. 경찰은 관광객과 주민들을 대상으로 보이스피싱 주요 수법과 대처 방법이 담긴 홍보물을 배부하며 범죄 예방 홍보 활동을 전개했다....,https://www.mhns.co.kr/news/articleView.html?idxno=747157,1,,0,drop,rule_drop_no_financial_anchor,1,,,금융,
보이스피싱 조직에 현금·골드바 전달 40대 구속,"경찰에 따르면, 보이스피싱 수거책을 맡은 A씨는 지난 4월20일 울산 동구에서 보이스피싱에 속은 피해자 2명으로부터 현금과 골드바 6개 등 총 1억3000만원 상당을 받아 다른 조직원에게 전달한 혐의를 받는다....",https://www.ksilbo.co.kr/news/articleView.html?idxno=1056455,0,,0,drop,rule_drop_no_financial_anchor,0,,,,
"순천농협, 직원들 기지로 2000만원 보이스피싱 막아","이후 박미경 신용차장이 상담에 나서 최근 빈번한 보이스피싱 수법과 피해 사례를 설명하며 휴대전화 소지 여부를 확인했다. A씨는 휴대전화를 차량에 두고 왔다고 했지만, 직원들이 확인한 결과 고객이 들고 있던 검은...",https://www.segye.com/newsView/20260511516181?OutUrl=naver,0,,0,drop,rule_drop_no_financial_anchor,0,,,,
14억 보이스피싱 자금세탁 총책 전직 경찰관…징역 5년 선고 [사건수첩...,"재판부는 ""보이스피싱 범행은 피해자가 대부분 일반 시민이고 적발이 어려워 피해회복의 가능성이 희박하다는 점에서 사회적 해악이 매우 크다""고 꾸짖었다. A씨에 대해서는 ""경찰공무원으로 재직하면서 범행에서...",https://www.segye.com/newsView/20260511515523?OutUrl=naver,0,,0,drop,rule_drop_no_financial_anchor,0,,,,
